OrderID,BatchID,CustomerName,SteelGrade,SteelType,Thickness,Width,Length,Weight,UnitPrice,TotalPrice,ProductionLine,Warehouse,QualityGrade,Status,OrderDate,ProductionDate,DeliveryDate,ContactEmail,ContactPhone
SO-2024-1409,B-877572,Figueroa and Sons,S275,Stainless Steel,22.71,2473.0,14120.0,6225.09,687.39,4279.06,Line-E1,WH-South,Rework,Pending,2025-07-25,2025-07-29,2025-07-30,donaldgarcia@example.net,+1-219-560-0133
SO-2024-9279,B-731262,"Gardner, Robinson and Lawrence",A36,Stainless Steel,71.74,2403.0,11034.0,14931.99,1896.28,28315.23,Line-D2,WH-Central,A,Quality Check,2025-07-27,2025-08-03,2025-08-16,blakeerik@example.com,942-335-1161x55940
SO-2025-5552,B-263032,Miller-Carter,A709-50,Alloy Steel,10.67,1760.0,10308.0,1519.57,749.65,1139.15,Line-C2,WH-Central,A,Rework Required,2025-08-04,2025-08-10,2025-08-18,barbara10@example.net,441.731.6475
SO-2025-2291,B-678856,"Adams, Zuniga and Wong",S235,Alloy Steel,57.95,2409.0,6550.0,7177.96,1260.25,9046.02,Line-B2,WH-Central,A,In Production,2025-07-16,2025-07-23,2025-07-27,amandasanchez@example.com,(748)535-0305x6413
SO-2025-6977,B-270555,Wilkerson-Day,S460,Alloy Steel,21.35,1534.0,17240.0,4432.31,1424.52,6313.91,Line-A2,WH-East,Rework,Quality Check,2025-07-25,2025-07-31,2025-08-04,josephwright@example.net,+1-949-369-6532
SO-2025-4598,B-817870,Hernandez and Sons,S420,Hot Rolled,23.29,1064.0,9785.0,1903.45,925.25,1761.17,Line-C1,WH-South,B,Delivered,2025-07-28,2025-08-02,2025-08-14,ycarlson@example.com,+1-878-448-0184x514
SO-2025-7482,B-774079,"Liu, Baker and Mason",304SS,Galvanized,26.86,1493.0,12736.0,4009.3,2494.65,$10001.8,Line-C1,WH-Domestic,Rework,Ready,2025-07-19,2025-07-23,2025-07-29,williamrodriguez@example.net,289-332-5288x0957
SO-2024-9348,B-617488,Allen-Allen,A992,Hot Rolled,86.18,1306.0,7920.0,6997.53,1558.23,10903.76,Line-D1,WH-South,Reject,Hold,2025-08-02,2025-08-06,2025-08-16,millertodd@example.org,001-682-827-8248x96383
SO-2024-2876,B-814825,"Brooks, Lam and Hayes",430SS,Carbon Steel,76.98,1680.0,9522.0,9666.85,2443.78,23623.65,Line-B1,WH-Reserve,A,Shipped,2025-08-04,2025-08-10,2025-08-22,jeffreymorgan@example.net,+1-239-730-1031
SO-2024-9317,B-211579,Ramirez Group,S235,Stainless Steel,15.71,2525.0,12473.0,3883.99,723.74,2811.0,Line-E1,WH-North,Rework,Pending,2025-07-08,2025-07-11,2025-07-19,ambercummings@example.net,001-773-876-3116
SO-2025-6038,B-351083,"Brown, Valdez and Lucas",A572-50,Stainless Steel,87.86,2894.0,7028.0,14027.85,1819.5,25523.67,Line-D2,WH-South,Rework,Quality Check,2025-07-18,2025-07-25,2025-07-28,powellmatthew@example.org,933.587.2624
SO-2024-5342,B-653306,Ramos PLC,Q345,Stainless Steel,92.93,2511.0,14278.0,26154.09,742.01,19406.6,Line-C1,WH-Domestic,C,Hold,2025-08-01,2025-08-05,2025-08-14,williamsyvette@example.org,432-867-7360
SO-2024-2049,B-454508,Baker-Bowers,A36,Stainless Steel,59.05,1014.0,14494.0,6812.65,641.71,4371.75,Line-A1,WH-West,A,Delivered,2025-07-06,2025-07-07,2025-07-21,smitchell@example.net,+1-272-734-3098
SO-2024-5562,B-801474,"Woods, Calhoun and Schmidt",316SS,Stainless Steel,54.15,2447.0,16589.0,17255.29,880.82,15198.8,Line-E2,WH-Reserve,B,Error,2025-07-07,2025-07-14,2025-07-22,yuchristopher@example.org,291-336-1939
SO-2024-8062,B-471507,"Cunningham, Stewart and Green",Q345,Tool Steel,46.97,2458.0,14080.0,12760.71,997.31,12726.38,Line-A2,WH-North,Reject,In Production,2025-07-18,2025-07-24,2025-07-30,john62@example.net,+1-647-451-0799x1183
SO-2024-9786,B-570405,Suarez LLC,A588,Tool Steel,18.76,1925.0,16494.0,4675.84,2172.06,10156.21,Line-A2,WH-Reserve,Rework,Rework Required,2025-08-02,2025-08-03,2025-08-04,eric84@example.net,+1-680-584-1241x1824
SO-2024-4872,B-274389,Watts LLC,Q345,Spring Steel,48.4,2729.0,16829.0,17449.25,1070.5,18679.42,Line-B1,WH-Domestic,A,Hold,2025-07-27,2025-07-31,2025-08-05,dking@example.org,+1-264-300-5242x7868
SO-2025-3536,B-299122,"Mckee, Gardner and Davenport",S235,Stainless Steel,96.89,2158.0,12506.0,20526.67,2338.77,48007.16,Line-C2,WH-North,A,Rework Required,2025-07-08,2025-07-13,2025-07-21,russellwilliams@example.com,4535315869
SO-2024-1931,B-632496,Keith Inc,A992,Galvanized,7.32,1136.0,16342.0,1066.75,1738.76,1854.82,Line-D1,WH-South,Rework,Pending,2025-07-31,2025-08-02,2025-08-12,jillcook@example.com,+1-534-221-6073x37543
SO-2025-9565,B-431737,Murphy-Lin,S275,Stainless Steel,67.14,1628.0,9187.0,7882.77,518.63,4088.24,Line-B1,WH-Central,Reject,In Production,2025-07-25,2025-07-28,2025-08-10,michael86@example.net,+1-350-814-2940
SO-2024-2200,B-663750,Graham-Joyce,A709-50,Carbon Steel,13.68,1698.0,6825.0,1244.5,1907.08,2373.36,Line-B2,WH-Export,C,Rework Required,2025-07-16,2025-07-18,2025-07-26,cruzbarbara@example.com,7607883561
SO-2024-5905,B-795613,Cortez LLC,A514,Galvanized,26.81,2779.0,14909.0,8719.74,907.19,7910.46,Line-B1,WH-Central,C,Delivered,2025-07-25,2025-07-30,2025-08-03,elizabeth56@example.net,
SO-2025-9280,B-612262,"Lawson, Morris and Ramos",S275,Hot Rolled,9.68,1847.0,9320.0,1308.06,1982.46,2593.18,Line-A1,WH-Export,B,Quality Check,2025-07-12,2025-07-18,2025-07-23,williamleon@example.net,(514)589-5134
SO-2025-1158,B-217308,Sanchez Group,A992,Galvanized,54.79,2669.0,12990.0,14911.75,2297.96,34266.61,Line-B1,WH-Domestic,B,Delivered,2025-07-10,2025-07-11,2025-07-16,gibsonolivia@example.net,567.463.2016
SO-2024-6862,B-320281,"Holmes, Williams and Wright",S355,Cold Rolled,35.69,2120.0,16497.0,9798.44,2262.83,22172.2,Line-E2,WH-East,B,Quality Check,2025-07-30,2025-08-06,2025-08-09,bryantlaurie@example.net,589.657.9868x72774
SO-2024-3938,B-872343,"Washington, Allen and Gonzales",S420,Tool Steel,80.32,2728.0,15729.0,27054.46,2217.19,59984.88,Line-C1,WH-East,A,Pending,2025-07-28,2025-08-01,2025-08-15,jimmy55@example.net,822-736-2316
SO-2024-4269,B-956253,Brown-Wall,304SS,Alloy Steel,30.87,2591.0,8731.0,5481.98,2433.78,13341.93,Line-A1,WH-West,Reject,In Production,2025-07-22,2025-07-25,2025-07-30,lstein@example.net,5969705466
SO-2025-6753,B-772642,Tucker-Price,409SS,Tool Steel,68.11,2687.0,9974.0,14329.06,576.51,8260.85,Line-A1,WH-South,C,Shipped,2025-07-12,2025-07-14,2025-07-24,dramsey@example.org,+1-280-669-9016x272
SO-2025-6663,B-863934,Gibson LLC,S420,Tool Steel,60.82,2023.0,10622.0,10259.31,503.38,5164.33,Line-E2,WH-West,C,Cancelled,2025-07-17,2025-07-18,2025-07-30,aramirez@example.com,270-580-5310
SO-2024-6967,B-552248,Howell and Sons,A992,Alloy Steel,62.5,2327.0,7496.0,8558.07,1608.82,13768.39,Line-C1,WH-Central,Reject,Shipped,2025-07-11,2025-07-14,2025-07-21,thomaswilson@example.org,645.829.9124x190
SO-2024-7888,B-797229,"Gonzalez, Vargas and Rivas",Q235,Galvanized,61.74,1602.0,12575.0,9763.53,1429.98,13961.65,Line-A1,WH-Central,C,Delivered,2025-07-17,2025-07-19,2025-07-26,curtisbarton@example.net,+1-819-905-8651x850
SO-2025-4501,B-636004,Reid-Poole,316SS,Galvanized,66.06,1568.0,13966.0,11356.02,1845.59,20958.56,Line-E2,WH-Export,A,Ready,2025-07-09,2025-07-16,2025-07-29,ryangross@example.net,998-577-6945x314
SO-2024-4262,B-254511,"Bishop, Gray and Johnson",A36,Hot Rolled,24.86,1950.0,16197.0,6163.68,1936.69,11937.14,Line-A2,WH-Reserve,Reject,Ready,2025-07-28,2025-08-03,2025-08-13,hunter35@example.com,949-948-0831x36783
SO-2025-9099,B-519066,Davis and Sons,S355,Galvanized,65.78,1011.0,15012.0,7837.06,1429.1,11199.94,Line-A2,WH-Domestic,B,Rework Required,2025-07-19,2025-07-21,2025-08-03,tholt@example.net,001-757-988-5685
SO-2024-2988,B-578634,Hall-Griffith,A588,Spring Steel,66.92,2976.0,13145.0,20550.34,1400.14,28773.35,Line-D2,WH-Domestic,Rework,Hold,2025-07-14,2025-07-18,2025-07-21,david82@example.org,674.598.9413
SO-2024-5543,B-903013,Smith-Ferguson,409SS,Spring Steel,62.86,1549.0,6930.0,5296.98,661.16,3502.15,Line-C1,WH-West,C,Rework Required,2025-07-16,2025-07-19,2025-07-25,brandon08@example.com,
SO-2024-4788,B-501641,Wilson-Jones,A588,Stainless Steel,6.89,1815.0,12511.0,1228.17,2309.68,2836.68,Line-D1,WH-North,B,Cancelled,2025-08-03,2025-08-10,2025-08-17,ojones@example.net,8225941318
SO-2024-7232,B-600149,Hayes-Ramos,A36,Alloy Steel,30.21,1780.0,16700.0,7049.48,1471.28,10371.76,Line-D1,WH-West,Reject,Cancelled,2025-07-29,2025-07-31,2025-08-05,ntorres@example.org,+1-213-834-1232x812
SO-2025-6507,B-801364,"Harrison, Johnson and Roberts",Q235,Galvanized,84.13,2839.0,17769.0,33315.7,667.89,22251.22,Line-E1,WH-North,Reject,Pending,2025-07-19,2025-07-24,2025-08-03,jacqueline71@example.net,649.436.1832
SO-2025-3223,B-584125,Sparks PLC,A242,Hot Rolled,26.39,1655.0,11456.0,3927.72,1004.54,3945.55,Line-C2,WH-Domestic,C,Cancelled,2025-07-08,2025-07-15,2025-07-29,scott74@example.net,(248)387-7190x6594
SO-2024-8705,B-120324,"Huff, Johnston and Sampson",430SS,Hot Rolled,99.99,1700.0,13802.0,18416.93,1742.67,32094.63,Line-A1,WH-North,B,Pending,2025-07-12,2025-07-14,2025-07-28,barbara27@example.net,+1-374-429-6717x5655
SO-2024-3068,B-596564,"Simpson, Bates and Morales",A514,Stainless Steel,46.77,1512.0,10427.0,5788.26,2357.77,13647.39,Line-E2,WH-South,B,Pending,2025-07-15,2025-07-18,2025-07-20,gibsonleonard@example.com,768-908-7603
SO-2025-7498,B-849747,Harris PLC,A709-50,Cold Rolled,59.41,2661.0,8914.0,11062.33,1565.49,17317.97,Line-C1,WH-South,Rework,Delivered,2025-07-24,2025-07-31,2025-08-01,sarakim@example.net,310.993.2480x8613
SO-2025-2129,B-630538,"Collier, Jimenez and Moran",S420,Hot Rolled,85.03,2645.0,7266.0,12828.12,2430.95,31184.52,Line-C2,WH-Reserve,B,Rework Required,2025-08-03,2025-08-07,2025-08-10,robert77@example.org,682.263.9821x465
SO-2025-9817,B-912270,Monroe-Carpenter,316SS,Spring Steel,43.84,2462.0,9221.0,7812.79,1639.7,12810.63,Line-B2,WH-South,C,Hold,2025-07-14,2025-07-18,2025-07-22,cgrimes@example.net,855.288.6753x3963
